3082,Chhatak Paper Mills,,Sunamganj,24.537500,91.454201
6311,Mandumala,,Chapinawabganj,24.733299,88.416702
7110,Gangni,,Meherpur,23.733299,88.849998
7911,Khalia,,Madaripur,23.216700,90.016701
6421,Lalpur S.O,,Natore,24.250000,88.983299
9281,Godaipur,,Khulna,22.577801,89.283302
1209,Jigatala TSO,,Dhaka,23.755199,90.373100
1520,Tangibari,,Munshiganj,23.516701,90.466698
2336,Bajitpur,,Kishoreganj,23.433300,89.716698
2400,Netrakona Sadar,,Netrakona,24.861900,90.840500
3108,Mogla,,Sylhet,23.683300,91.025002
2204,Biddyaganj,,Mymensingh,23.183300,90.133301
2338,Laksmipur,,Kishoreganj,23.533300,89.766701
5940,Akklepur,,Joypurhat,24.900000,89.000000
1920,Basail,,Tangail,23.866699,89.783302
3510,Chandia,,Comilla,22.802500,91.410797
3900,Feni Sadar,,Feni,23.266701,91.150002
7410,Chougachha,,Jessore,23.108299,89.150002
7632,Nahata,,Magura,23.333300,89.516701
9360,Chitalmari,,IBH WAs Here,22.850000,89.866699
9380,Mollahat,,IBH WAs Here,22.650000,89.375000
9452,Naobeki,,Satkhira,22.416700,89.504204
1342,Jahangirnagar Univer,,Dhaka,24.313700,89.608902
3101,Sylhet Cadet Col,,Sylhet,23.683300,91.025002
3850,Basur Hat,,Noakhali,23.184099,90.915703
4220,Chitt. Cantonment,,Chittagong,23.975000,90.625000
8511,Keundia,,Pirojpur,22.633301,90.066704
3062,Atuajan,,Sunamganj,24.401899,91.096298
1225,Sangsad BhabanTSO,,Dhaka,23.761700,90.378403
3707,Choupalli,,Lakshmipur,23.924999,89.783302
3441,Fandauk,,Brahmanbaria,24.016500,91.041603
9000,Khulna G.P.O,,Khulna,22.840401,89.539200
3892,Tamoraddi,,Noakhali,22.404400,91.125298
7802,Ambikapur,,Faridpur,22.833300,90.533302
9223,Ghoshghati,,Khulna,22.941700,89.558296
2030,Dewangonj,,Jamalpur,24.428301,89.896698
2270,Gouripur,,Mymensingh,24.766701,90.566704
2291,Gangail,,Mymensingh,24.583300,90.766701
3181,Chatulbazar,,Sylhet,23.855301,90.012497
3233,Prithimpasha,,Moulvibazar,24.566700,91.349998
1535,Medini Mandal EDSO,,Munshiganj,23.450001,90.324997
3930,Sonagazi,,Feni,22.860600,91.442802
6600,Pabna Sadar,,Pabna,23.896700,89.610001
8500,Pirojpur Sadar,,Pirojpur,22.496700,90.171700
4720,Kutubdia,,Cox’s Bazar,21.814400,91.854202
5900,Joypurhat Sadar,,Joypurhat,24.900000,89.099998
6741,Sohagpur,,Sirajganj,24.583300,90.833298
1464,Murapara,,Narayanganj,23.783300,90.550003
3183,Gachbari,,Sylhet,23.855301,90.012497
3410,Nabinagar,,Brahmanbaria,23.891701,90.973297
3812,Char Jabbar,,Noakhali,23.184099,90.915703
3831,Alaiarpur,,Noakhali,22.950001,91.300003
7300,Jinaidaha Sadar,,Jinaidaha,23.466700,89.138901
4742,Badarkali,,Cox’s Bazar,21.339399,92.099098
8621,Bagabandar,,Patuakhali,22.400000,90.574997
9206,Sonali Jute Mills,,Khulna,22.766701,89.419197
1611,Ghorashal Urea Facto,,Narshingdi,23.933300,90.633301
2000,Jamalpur,,Jamalpur,24.916700,89.933296
2331,Gochhihata,,Kishoreganj,23.483299,89.741699
8200,Barishal Sadar,,Barishal,22.866699,90.405602
8320,Borhanuddin UPO,,Bhola,22.483299,90.800003
1860,Doulatpur,,Manikganj,24.700001,90.550003
3109,Ranga Hajiganj,,Sylhet,23.683300,91.025002
8120,Tungipara,,Gopalganj,22.900000,89.916702
1700,Gazipur Sadar,,Gazipur,23.983299,90.400002
2150,Nakla,,Sherpur,24.983299,90.166702
3320,Chunarughat,,Hobiganj,24.200001,91.516701
3809,Charam Tua,,Noakhali,23.233299,90.966698
6711,Shuvgachha,,Sirajganj,23.916700,90.216698
3372,Golduba,,Hobiganj,24.608299,91.541702
4410,Panchhari,,Khagrachari,22.683300,92.416702
6271,Sarda,,Rajshahi,24.400000,88.852402
3070,Duara bazar,,Sunamganj,24.401899,91.096298
4328,Mohazanhat,,Chittagong,22.857401,91.533203
5410,Gangachara,,Rangpur,25.209299,89.609299
6251,Taharpur,,Rajshahi,24.583300,88.816704
9260,Batiaghat,,Khulna,22.766701,89.419197
6650,Banwarinagar,,Pabna,23.896700,89.610001
8622,Birpasha,,Patuakhali,22.400000,90.574997
1991,Jhowail,,Tangail,25.575001,89.408302
3504,Suaganj,,Comilla,23.320700,91.097298
3871,Palla,,Noakhali,23.083300,90.983299
5210,Biral,,Dinajpur,24.633301,89.512497
8421,Beerkathi,,Jhalokathi,22.633301,90.283302
1723,Vaoal Jamalpur,,Gazipur,23.922701,90.549400
3708,Chandraganj,,Lakshmipur,23.924999,89.783302
4530,Kaptai,,Rangamati,22.488899,92.230598
6431,Dayarampur,,Natore,24.783300,90.500000
7803,Baitulaman Politecni,,Faridpur,23.191700,90.158302
1430,Siddirganj,,Narayanganj,23.721901,90.578903
1602,Narshingdi College,,Narshingdi,23.927799,90.694397
3117,Fenchuganj SareKarkh,,Sylhet,24.741699,91.216698
7870,Alfadanga,,Faridpur,23.299999,89.699997
1340,Savar,,Dhaka,23.844200,90.251099
2252,Tarakanda,,Mymensingh,24.950001,90.466698
3230,Kulaura,,Moulvibazar,24.533300,92.050003
4363,Kanungopara,,Chittagong,22.396601,91.958900
6240,Durgapur,,Rajshahi,24.400000,88.852402
5820,Gabtoli,,Bogra,24.933300,89.500000
5826,Sonatola,,Bogra,24.933300,89.500000
8020,Naria,,Shariatpur,23.250000,90.474998
1750,Kaliakaar,,Gazipur,24.033300,90.283302
1981,Zahidganj,,Tangail,24.883301,90.849998
2430,Kalmakanda,,Netrakona,25.000000,90.816704
4217,North Katuli,,Chittagong,23.975000,90.625000
4761,Hnila,,Cox’s Bazar,20.866699,92.300003
8501,Hularhat,,Pirojpur,22.496700,90.171700
1632,Radhaganj bazar,,Narshingdi,22.700001,90.416702
8560,Mathbaria,,Pirojpur,22.299999,89.949997
9290,Madinabad,,Khulna,22.766701,89.419197
5141,Lahiri,,Thakurgaon,23.716700,89.883301
6201,Rajshahi Court,,Rajshahi,25.166700,89.449997
6760,Ullapara,,Sirajganj,24.316700,89.566704
1521,Betkahat,,Munshiganj,23.455601,90.466698
1942,M.C. College,,Tangail,24.100000,90.133301
