841 03,Lamač,,Bratislava IV,48.193001,17.050800
821 05,Bratislava,,,48.148201,17.106701
962 05,Mangútovo,,Detva,48.583500,19.572399
053 21,Lieskovany,,Spišská Nová Ves,48.928101,20.604700
946 12,Horná Zlatná,,Komárno,47.783298,17.950001
972 25,Somorova Ves,,Prievidza,49.035500,18.887899
900 64,Suchohrad,,Malacky,48.400002,16.866699
068 01,Vydraň,,Medzilaborce,49.289299,21.933901
913 31,Újazd,,Trenčín,48.849998,17.949200
031 04,Vitálišovce,,Liptovský Mikuláš,49.088402,19.650400
038 52,Podhradie,,Martin,49.086102,19.054501
055 01,Margecany,,Gelnica,48.892399,21.011999
935 33,Marušová,,Levice,48.235802,18.522100
082 41,Žipov,,Prešov,48.965900,21.084999
919 01,Zvončín,,Trnava,48.400700,17.506500
020 51,Zbora,,Púchov,49.196899,18.153700
013 62,Dolinky,,Bytča,49.320000,18.560801
029 57,Lehotská,,Námestovo,49.383301,19.150000
985 58,Čakanovce,,Lučenec,48.213200,19.814600
985 26,Vlčovo,,Poltár,48.577900,19.720400
900 81,Šenkvice,,Pezinok,48.298199,17.349600
059 36,Mengusovce,,Poprad,49.073502,20.140301
956 35,Pravotice,,Bánovce nad Bebravou,48.609001,18.209999
900 67,Láb,,Malacky,48.366699,16.983299
908 72,Závod,,Malacky,48.544899,17.030300
919 07,Bíňovce,,Trnava,48.504200,17.480700
916 38,Beckov,,Nové Mesto n.Váhom,48.755901,17.709400
038 23,Budiš,,Turčianske Teplice,48.872898,18.758499
962 66,Sebechleby,,Krupina,48.275398,18.952400
076 35,N.Vieska pri Bodrogu,,Trebišov,48.424900,21.827801
943 01,Štúrovo,,,47.794899,18.717501
082 33,Krížovany,,Prešov,48.981499,21.049801
831 51,Bratislava,,,48.148201,17.106701
072 17,Slavkovce,,Michalovce,48.602299,21.921499
085 01,Bardejovská Zábava,,Bardejov,49.300999,21.268400
920 52,Horné Zelenice,,Hlohovec,48.385601,17.759701
034 06,Černová,,Ružomberok,49.091301,19.264000
969 73,Prenčov,,Banská Štiavnica,48.358200,18.924700
980 13,Veľká Suchá,,Poltár,48.430500,19.866100
902 01,Vinosady,,Pezinok,48.273602,17.248400
946 55,Pribeta,,Komárno,47.899799,18.315001
059 07,Lendak,,Kežmarok,49.234402,20.356501
067 35,Hostovice,,Snina,49.116901,22.143999
013 03,Krasňany,,Žilina,49.214901,18.887199
935 84,Hokovce,,Levice,48.121201,18.891399
925 84,Vlčany,,Šaľa,48.030998,17.952101
090 42,Hradisko,,Svidník,49.201000,21.587099
925 09,Košúty,,Galanta,48.169899,17.657600
916 22,Podolie,,Nové Mesto n.Váhom,48.755901,17.709400
991 24,Stredné Plachtince,,Veľký Krtíš,48.226299,19.291901
930 28,Opatovský Sokolec,,Dunajská Streda,47.899799,17.807800
951 53,Klasov,,Nitra,48.276199,18.259399
082 44,Klenov,,Prešov,48.926701,21.056000
930 12,Ohrady,,Dunajská Streda,47.983299,17.700001
908 79,Borský Svätý Jur,,Senica,48.613701,17.046600
906 14,Bukovec,,Myjava,48.641800,17.456400
029 63,Beňadovo,,Námestovo,49.431999,19.342300
974 11,Rudlová,,Banská Bystrica,48.753601,19.162001
976 68,Heľpa,,Brezno,48.861000,19.969200
962 25,Stará Huta,,Detva,48.474899,19.348499
049 62,Kameňany,,Revúca,48.577400,20.191601
906 37,Sološnica,,Malacky,48.465199,17.230700
049 25,Dobšiná,,Rožňava,48.820702,20.369900
053 32,Bindt,,Spišská Nová Ves,48.870602,20.578800
946 17,Brestovec,,Komárno,47.863400,17.822800
925 27,Veľký Grob,,Galanta,48.249699,17.496099
906 22,Poriadie,,Myjava,48.636299,17.346399
916 23,Pobedim,,Nové Mesto n.Váhom,48.755901,17.709400
018 12,Brvnište,,Považská Bystrica,49.113499,18.214399
974 04,Banská Bystrica,,,48.739498,19.153500
946 56,Dulovce,,Komárno,47.869202,18.272800
951 16,Svätoplukovo,,Nitra,48.228199,18.055799
951 17,Čápor,,Nitra,48.250801,18.018600
919 04,Lošonec,,Trnava,48.481998,17.399000
956 18,Baštín,,Partizánske,48.483898,18.139900
962 43,Senohrad,,Krupina,48.357800,19.198200
980 02,Hodejovec,,Rimavská Sobota,48.282001,20.015900
991 25,Opava,,Veľký Krtíš,48.195900,19.177200
851 03,Bratislava,,,48.148201,17.106701
935 25,Nová Dedina,,Levice,48.278702,18.647499
900 01,Piesok,,Pezinok,48.383301,17.275400
059 92,Huncovce,,Kežmarok,49.115002,20.376699
013 13,Konská,,Žilina,49.111099,18.678101
941 31,Dvory nad Žitavou,,Nové Zámky,47.989498,18.267200
054 01,Kurimany,,Levoča,48.998798,20.542801
930 51,Čukárska Paka,,Dunajská Streda,48.033100,17.387899
919 24,Križovany n/Dudváhom,,Trnava,48.359001,17.674200
919 30,Jaslovské Bohunice,,Trnava,48.475498,17.647400
029 46,Sihelné,,Námestovo,49.508202,19.411501
029 51,Ťapešovo,,Námestovo,49.374199,19.446100
991 07,Iliašov,,Veľký Krtíš,48.113499,19.278200
090 11,Vyšný Orlík,,Svidník,49.343800,21.502501
930 03,Kostolné Kračany,,Dunajská Streda,47.973499,17.573400
013 02,Gbeľany,,Žilina,49.212200,18.844500
962 02,Vígľaš,,Detva,48.563202,19.302900
991 01,Brusník,,Veľký Krtíš,48.299301,19.401600
049 32,Honce,,Rožňava,48.667801,20.405199
934 01,Čankov,,Levice,48.195400,18.708000
082 38,Dolina,,Prešov,49.133301,20.733299
065 41,Podpílie,,Stará Ľubovňa,49.238701,20.879801
906 04,Havran,,Senica,48.765499,17.379101
919 10,Buková,,Trnava,48.543201,17.396999
032 33,Kráľova Lehota,,Liptovský Mikuláš,49.022598,19.789900
946 19,Klížska Nemá,,Komárno,47.752102,17.819700
951 22,Alekšince,,Nitra,48.366402,17.947901
072 62,Koromľa,,Sobrance,48.715900,22.293200
956 03,Horné Štitáre,,Topoľčany,48.525398,18.057100
900 83,Čataj,,Senec,48.270500,17.478701
955 01,Závada,,Topoľčany,48.641300,18.085300
082 73,Bajerovce,,Sabinov,49.213799,20.797501
018 13,Papradno,,Považská Bystrica,49.113499,18.214399
913 36,Selec,,Trenčín,48.849998,17.949200
032 13,Vlašky,,Liptovský Mikuláš,49.098301,19.468700
962 37,Kováčová,,Zvolen,48.601501,19.102501
811 01,Bratislava,,,48.148201,17.106701
044 12,Vyšný Klátov,,Košice-okolie,48.744801,21.124599
082 01,Kendice,,Prešov,48.877998,21.339701
